nome_mun,pop2017,muni_code
Alta Floresta D\'Oeste,25437,1100015
Ariquemes,107345,1100023
Cabixi,6224,1100031
Cacoal,88507,1100049
Cerejeiras,17934,1100056
Colorado do Oeste,18467,1100064
Corumbiara,8659,1100072
Costa Marques,17400,1100080
Espig\u00e3o D\'Oeste,33030,1100098
Guajar\u00e1-Mirim,47451,1100106
Jaru,55871,1100114
Ji-Paran\u00e1,132667,1100122
Machadinho D\'Oeste,38609,1100130
Nova Brasil\u00e2ndia D\'Oeste,21747,1100148
Ouro Preto do Oeste,39759,1100155
Pimenta Bueno,38051,1100189
Porto Velho,519436,1100205
Presidente M\u00e9dici,22124,1100254
Rio Crespo,3829,1100262
Rolim de Moura,57074,1100288
Santa Luzia D\'Oeste,8198,1100296
Vilhena,95630,1100304
S\u00e3o Miguel do Guapor\u00e9,24181,1100320
Nova Mamor\u00e9,28891,1100338
Alvorada D\'Oeste,16747,1100346
Alto Alegre dos Parecis,14045,1100379
Alto Para\u00edso,20916,1100403
Buritis,39044,1100452
Novo Horizonte do Oeste,10051,1100502
Cacaul\u00e2ndia,6460,1100601
Campo Novo de Rond\u00f4nia,14484,1100700
Candeias do Jamari,25266,1100809
Castanheiras,3550,1100908
Chupinguaia,10593,1100924
Cujubim,22443,1100940
Governador Jorge Teixeira,9745,1101005
Itapu\u00e3 do Oeste,10310,1101104
Ministro Andreazza,10751,1101203
Mirante da Serra,12258,1101302
Monte Negro,16186,1101401
Nova Uni\u00e3o,7769,1101435
Parecis,5904,1101450
Pimenteiras do Oeste,2410,1101468
Primavera de Rond\u00f4nia,3411,1101476
S\u00e3o Felipe D\'Oeste,5994,1101484
S\u00e3o Francisco do Guapor\u00e9,19694,1101492
Seringueiras,12653,1101500
Teixeir\u00f3polis,4931,1101559
Theobroma,11350,1101609
Urup\u00e1,13106,1101708
Vale do Anari,11149,1101757
Vale do Para\u00edso,8047,1101807
Acrel\u00e2ndia,14366,1200013
Assis Brasil,6986,1200054
Brasil\u00e9ia,24765,1200104
Bujari,9664,1200138
Capixaba,11136,1200179
Cruzeiro do Sul,82622,1200203
Epitaciol\u00e2ndia,17340,1200252
Feij\u00f3,32360,1200302
Jord\u00e3o,7858,1200328
M\u00e2ncio Lima,17910,1200336
Manoel Urbano,8886,1200344
Marechal Thaumaturgo,17897,1200351
Pl\u00e1cido de Castro,18510,1200385
Porto Walter,11353,1200393
Rio Branco,383443,1200401
Rodrigues Alves,17945,1200427
Santa Rosa do Purus,6230,1200435
Senador Guiomard,21552,1200450
Sena Madureira,43139,1200500
Tarauac\u00e1,40024,1200609
Xapuri,18174,1200708
Porto Acre,17459,1200807
Alvar\u00e3es,15908,1300029
Amatur\u00e1,11242,1300060
Anam\u00e3,12978,1300086
Anori,20196,1300102
Apu\u00ed,21406,1300144
Atalaia do Norte,19054,1300201
Autazes,38454,1300300
Barcelos,27743,1300409
Barreirinha,31542,1300508
Benjamin Constant,41329,1300607
Beruri,18978,1300631
Boa Vista do Ramos,18483,1300680
Boca do Acre,34176,1300706
Borba,40464,1300805
Caapiranga,12820,1300839
Canutama,15490,1300904
Carauari,28337,1301001
Careiro,37399,1301100
Careiro da V\u00e1rzea,29190,1301159
Coari,84762,1301209
Codaj\u00e1s,27817,1301308
Eirunep\u00e9,34888,1301407
Envira,19492,1301506
Fonte Boa,19669,1301605
Guajar\u00e1,16339,1301654
Humait\u00e1,53383,1301704
Ipixuna,28299,1301803
Iranduba,47407,1301852
Itacoatiara,99854,1301902
Itamarati,8128,1301951
Itapiranga,9125,1302009
Japur\u00e1,4205,1302108
Juru\u00e1,13956,1302207
Juta\u00ed,15824,1302306
L\u00e1brea,44861,1302405
Manacapuru,96460,1302504
Manaquiri,30222,1302553
Manaus,2130264,1302603
Manicor\u00e9,54708,1302702
Mara\u00e3,18531,1302801
Mau\u00e9s,62212,1302900
Nhamund\u00e1,20902,1303007
Nova Olinda do Norte,36431,1303106
Novo Air\u00e3o,18586,1303205
Novo Aripuan\u00e3,25112,1303304
Parintins,113832,1303403
Pauini,19597,1303502
Presidente Figueiredo,34574,1303536
Rio Preto da Eva,32001,1303569
Santa Isabel do Rio Negro,23765,1303601
Santo Ant\u00f4nio do I\u00e7\u00e1,23075,1303700
S\u00e3o Gabriel da Cachoeira,44553,1303809
S\u00e3o Paulo de Oliven\u00e7a,38047,1303908
S\u00e3o Sebasti\u00e3o do Uatum\u00e3,13421,1303957
Silves,9211,1304005
Tabatinga,63635,1304062
Tapau\u00e1,17930,1304104
Tef\u00e9,62021,1304203
Tonantins,18782,1304237
Uarini,13428,1304260
Urucar\u00e1,16968,1304302
Urucurituba,22148,1304401
Amajari,11560,1400027
Alto Alegre,15933,1400050
Boa Vista,332020,1400100
Bonfim,11945,1400159
Cant\u00e1,16877,1400175
Caracara\u00ed,20807,1400209
Caroebe,9493,1400233
Iracema,10859,1400282
Mucaja\u00ed,16852,1400308
Normandia,10527,1400407
Pacaraima,12375,1400456
Rorain\u00f3polis,28215,1400472
S\u00e3o Jo\u00e3o da Baliza,7740,1400506
S\u00e3o Luiz,7597,1400605
Uiramut\u00e3,9836,1400704
Abaetetuba,153380,1500107
Abel Figueiredo,7231,1500131
Acar\u00e1,54096,1500206
Afu\u00e1,38144,1500305
\u00c1gua Azul do Norte,26682,1500347
Alenquer,55246,1500404
Almeirim,33195,1500503
Altamira,111435,1500602
Anaj\u00e1s,28466,1500701
Ananindeua,516057,1500800
Anapu,27096,1500859
Augusto Corr\u00eaa,44734,1500909
Aurora do Par\u00e1,30471,1500958
Aveiro,15947,1501006
Bagre,29808,1501105
Bai\u00e3o,46110,1501204
Bannach,3200,1501253
Barcarena,121190,1501303
Bel\u00e9m,1452275,1501402
Belterra,17249,1501451
Benevides,60990,1501501
Bom Jesus do Tocantins,16517,1501576
Bonito,15834,1501600
Bragan\u00e7a,124184,1501709
Brasil Novo,14689,1501725
Brejo Grande do Araguaia,7182,1501758
Breu Branco,64194,1501782
Breves,99896,1501808
Bujaru,28331,1501907
Cachoeira do Piri\u00e1,32947,1501956
Cachoeira do Arari,23110,1502004
Camet\u00e1,134100,1502103
Cana\u00e3 dos Caraj\u00e1s,36027,1502152
Capanema,67150,1502202
Capit\u00e3o Po\u00e7o,52839,1502301
Castanhal,195253,1502400
Chaves,23066,1502509
Colares,11759,1502608
Concei\u00e7\u00e3o do Araguaia,46571,1502707
Conc\u00f3rdia do Par\u00e1,32395,1502756
Cumaru do Norte,13093,1502764
Curion\u00f3polis,17453,1502772
Curralinho,33490,1502806
Curu\u00e1,13996,1502855
Curu\u00e7\u00e1,38959,1502905
Dom Eliseu,58071,1502939
Eldorado do Caraj\u00e1s,32892,1502954
Faro,7009,1503002
Floresta do Araguaia,19746,1503044
